Variable,Coefficient,Std_Error,P_Value,CI_Lower_95,CI_Upper_95,Significance_0.05
const,39.02650886292626,1.2737504732872942,9.391424307132782e-21,36.3976170932356,41.655400632616924,True
Policy_Count,0.3617966115676913,0.296330353061395,0.23397457392563253,-0.24979917788244654,0.9733924010178291,False
Instrument_Diversity,-1.3348427977767887,0.610385622894183,0.03873203098626072,-2.5946168069065187,-0.07506878864705868,True
